"Date","Close"
"1/4/21",10.21
"1/5/21",10.41
"1/6/21",10.53
"1/7/21",10.53
"1/8/21",10.62
"1/11/21",10.55
"1/12/21",10.77
"1/13/21",10.76
"1/14/21",10.96
"1/15/21",10.98
"1/19/21",10.89
"1/20/21",10.72
"1/21/21",10.69
"1/22/21",10.12
"1/25/21",10.4
"1/26/21",10.58
"1/27/21",10.59
"1/28/21",10.41
"1/29/21",10.53
"2/1/21",10.64
"2/2/21",10.61
"2/3/21",10.66
"2/4/21",10.7
"2/5/21",10.71
"2/8/21",10.9
"2/9/21",11.01
"2/10/21",10.73
"2/11/21",10.84
"2/12/21",10.83
"2/16/21",10.96
"2/17/21",10.99
"2/18/21",10.96
"2/19/21",11.06
"2/22/21",11.22
"2/23/21",11.32
"2/24/21",11.48
"2/25/21",11.41
"2/26/21",11.33
"3/1/21",11.29
"3/2/21",11.4
"3/3/21",11.34
"3/4/21",11.4
"3/5/21",11.57
"3/8/21",11.64
"3/9/21",11.72
"3/10/21",11.49
"3/11/21",11.54
"3/12/21",11.59
"3/15/21",11.59
"3/16/21",11.6
"3/17/21",11.51
"3/18/21",11.21
"3/19/21",11.35
"3/22/21",11.31
"3/23/21",11.38
"3/24/21",11.43
"3/25/21",11.3
"3/26/21",11.22
"3/29/21",11.2
"3/30/21",11.01
"3/31/21",11.71
"4/1/21",11.79
"4/5/21",11.84
"4/6/21",11.86
"4/7/21",11.86
"4/8/21",11.88
"4/9/21",11.78
"4/12/21",11.65
"4/13/21",11.66
"4/14/21",11.79
"4/15/21",11.84
"4/16/21",11.89
"4/19/21",11.99
"4/20/21",12.15
"4/21/21",12.25
"4/22/21",12.53
"4/23/21",12.57
"4/26/21",12.77
"4/27/21",12.58
"4/28/21",12.43
"4/29/21",12.34
"4/30/21",12.55
"5/3/21",12.6
"5/4/21",12.78
"5/5/21",12.98
"5/6/21",13.24
"5/7/21",13.49
"5/10/21",13.29
"5/11/21",13.46
"5/12/21",13.59
"5/13/21",13.12
"5/14/21",13.16
"5/17/21",13.12
"5/18/21",13.15
"5/19/21",12.84
"5/20/21",12.83
"5/21/21",12.76
"5/24/21",12.77
"5/25/21",12.62
"5/26/21",12.62
"5/27/21",12.93
"5/28/21",12.88
"6/1/21",13.12
"6/2/21",13.29
"6/3/21",13.19
"6/4/21",13.51
"6/7/21",13.55
"6/8/21",13.72
"6/9/21",13.63
"6/10/21",13.75
"6/11/21",13.54
"6/14/21",13.1
"6/15/21",12.88
"6/16/21",12.58
"6/17/21",11.68
"6/18/21",12.28
"6/21/21",12.34
"6/22/21",12.17
"6/23/21",12.15
"6/24/21",12.07
"6/25/21",11.89
"6/28/21",12.28
"6/29/21",12.28
"6/30/21",13.14
"7/1/21",13.11
"7/2/21",13.14
"7/5/21",13.14
"7/6/21",12.2
"7/7/21",12.42
"7/8/21",12.35
"7/9/21",12.44
"7/12/21",12.65
"7/13/21",12.67
"7/14/21",12.98
"7/15/21",12.95
"7/16/21",13.07
"7/19/21",12.88
"7/20/21",13.04
"7/21/21",13.05
"7/22/21",12.77
"7/23/21",12.67
"7/26/21",12.73
"7/27/21",12.75
"7/28/21",12.76
"7/29/21",12.93
"7/30/21",12.64
"8/2/21",12.69
"8/3/21",12.35
"8/4/21",12.41
"8/5/21",12.44
"8/6/21",12.52
"8/9/21",12.45
"8/10/21",12.52
"8/11/21",12.55
"8/12/21",12.56
"8/13/21",12.8
"8/16/21",12.83
"8/17/21",12.77
"8/18/21",12.68
"8/19/21",12.35
"8/20/21",12.06
"8/23/21",12.08
"8/24/21",12.47
"8/25/21",12.48
"8/26/21",12.41
"8/27/21",12.38
"8/30/21",12.18
"8/31/21",12.08
"9/1/21",11.93
"9/2/21",11.98
"9/3/21",12.07
"9/7/21",11.92
"9/8/21",11.95
"9/9/21",11.86
"9/10/21",12.02
"9/13/21",12
"9/14/21",11.98
"9/15/21",12.1
"9/16/21",12.11
"9/17/21",11.99
"9/20/21",11.78
"9/21/21",11.89
"9/22/21",11.98
"9/23/21",11.99
"9/24/21",12
"9/27/21",12.03
"9/28/21",11.92
"9/29/21",11.99
"9/30/21",11.71
"10/1/21",11.62
"10/4/21",11.51
"10/5/21",11.66
"10/6/21",11.35
"10/7/21",11.44
"10/8/21",11.39
"10/11/21",11.28
"10/12/21",11.06
"10/13/21",10.99
"10/14/21",11.02
"10/15/21",11.12
"10/18/21",11.15
"10/19/21",11.21
"10/20/21",11.39
"10/21/21",11.2
"10/22/21",11.29
"10/25/21",11.39
"10/26/21",11.4
"10/27/21",11.43
"10/28/21",11.43
"10/29/21",11.46
"11/1/21",11.45
"11/2/21",11.53
"11/3/21",11.44
"11/4/21",11.28
"11/5/21",11.16
"11/8/21",11.07
"11/9/21",11.26
"11/10/21",11.29
"11/11/21",11.3
"11/12/21",11.45
"11/15/21",11.54
"11/16/21",11.5
"11/17/21",11.68
"11/18/21",11.54
"11/19/21",11.56
"11/22/21",11.61
"11/23/21",11.59
"11/24/21",11.55
"11/26/21",11.45
"11/29/21",11.34
"11/30/21",11.14
"12/1/21",11.19
"12/2/21",11.24
"12/3/21",11.39
"12/6/21",11.38
"12/7/21",11.37
"12/8/21",11.49
"12/9/21",11.53
"12/10/21",11.54
"12/13/21",11.36
"12/14/21",11.48
"12/15/21",11.46
"12/16/21",11.51
"12/17/21",11.52
"12/20/21",11.54
"12/21/21",11.6
"12/22/21",11.68
"12/23/21",11.7
"12/27/21",11.82
"12/28/21",11.77
"12/29/21",11.85
"12/30/21",11.71
"12/31/21",11.75
