Date,Open,High,Low,Close,Volume
04/11/2025,"0.38","0.39","0.38","0.39","30,520"
04/10/2025,"0.37","0.38","0.37","0.38","31,873"
04/09/2025,"0.37","0.37","0.36","0.36","48,248"
04/08/2025,"0.37","0.39","0.37","0.37","93,113"
04/07/2025,"0.36","0.39","0.36","0.37","83,292"
04/04/2025,"0.40","0.40","0.37","0.37","82,156"
04/03/2025,"0.39","0.40","0.38","0.39","105,528"
04/02/2025,"0.41","0.41","0.39","0.39","63,537"
04/01/2025,"0.42","0.42","0.39","0.39","20,081"
03/31/2025,"0.40","0.41","0.37","0.41","188,179"
03/28/2025,"0.37","0.40","0.36","0.38","333,480"
03/27/2025,"0.41","0.41","0.35","0.36","407,208"
03/26/2025,"0.43","0.44","0.41","0.41","183,281"
03/25/2025,"0.46","0.46","0.42","0.42","214,873"
03/24/2025,"0.47","0.47","0.40","0.45","815,815"
03/21/2025,"0.50","0.50","0.45","0.46","228,032"
03/20/2025,"0.50","0.52","0.46","0.49","384,262"
03/19/2025,"0.58","0.59","0.56","0.59","112,000"
03/18/2025,"0.58","0.58","0.56","0.57","86,475"
03/17/2025,"0.58","0.58","0.56","0.58","33,051"
03/14/2025,"0.58","0.58","0.58","0.58","18,057"
03/13/2025,"0.59","0.60","0.58","0.58","57,850"
03/12/2025,"0.58","0.60","0.58","0.60","95,500"
03/11/2025,"0.59","0.60","0.59","0.60","11,001"
03/10/2025,"0.60","0.60","0.58","0.59","108,895"
03/07/2025,"0.60","0.61","0.60","0.60","39,142"
03/06/2025,"0.61","0.61","0.61","0.61","7,049"
03/05/2025,"0.60","0.62","0.60","0.61","13,890"
03/04/2025,"0.60","0.60","0.60","0.60","16,200"
03/03/2025,"0.63","0.63","0.60","0.60","71,287"
02/28/2025,"0.62","0.62","0.60","0.61","14,315"
02/27/2025,"0.61","0.62","0.60","0.61","50,944"
02/26/2025,"0.63","0.63","0.58","0.61","82,172"
02/25/2025,"0.63","0.63","0.61","0.63","156,616"
02/24/2025,"0.63","0.64","0.63","0.64","24,386"
02/21/2025,"0.63","0.64","0.63","0.63","13,225"
02/20/2025,"0.63","0.65","0.63","0.65","3,700"
02/19/2025,"0.64","0.64","0.63","0.64","25,606"
02/18/2025,"0.65","0.66","0.63","0.65","39,203"
02/14/2025,"0.65","0.65","0.65","0.65","11,593"
02/13/2025,"0.64","0.66","0.64","0.66","4,647"
02/12/2025,"0.67","0.67","0.64","0.64","5,817"
02/11/2025,"0.65","0.65","0.65","0.65","6,000"
02/10/2025,"0.70","0.70","0.66","0.66","48,000"
02/07/2025,"0.69","0.70","0.67","0.67","47,784"
02/06/2025,"0.61","0.69","0.61","0.67","149,692"
02/05/2025,"0.61","0.61","0.60","0.61","56,107"
02/04/2025,"0.60","0.62","0.60","0.61","12,700"
02/03/2025,"0.63","0.63","0.57","0.58","85,257"
01/31/2025,"0.62","0.63","0.62","0.63","15,710"
01/30/2025,"0.64","0.64","0.61","0.62","32,419"
01/29/2025,"0.62","0.64","0.61","0.64","38,259"
01/28/2025,"0.64","0.64","0.62","0.62","59,410"
01/27/2025,"0.63","0.63","0.62","0.62","31,137"
01/24/2025,"0.64","0.64","0.62","0.64","39,200"
01/23/2025,"0.65","0.66","0.64","0.64","52,906"
01/22/2025,"0.65","0.65","0.64","0.65","17,000"
01/21/2025,"0.65","0.66","0.65","0.66","26,400"
01/20/2025,"0.65","0.65","0.64","0.64","8,570"
01/17/2025,"0.65","0.66","0.64","0.65","37,313"
01/16/2025,"0.64","0.65","0.64","0.65","3,717"
01/15/2025,"0.66","0.66","0.64","0.64","68,505"
01/14/2025,"0.67","0.67","0.65","0.65","30,501"
01/13/2025,"0.67","0.69","0.67","0.67","39,500"
01/10/2025,"0.71","0.71","0.67","0.67","38,026"
01/09/2025,"0.72","0.72","0.69","0.69","20,106"
01/08/2025,"0.75","0.75","0.70","0.71","29,428"
01/07/2025,"0.75","0.76","0.70","0.70","90,670"
01/06/2025,"0.68","0.73","0.68","0.73","100,943"
01/03/2025,"0.65","0.68","0.65","0.67","60,141"
01/02/2025,"0.63","0.65","0.63","0.64","22,680"
12/31/2024,"0.60","0.62","0.60","0.62","47,103"
12/30/2024,"0.61","0.61","0.60","0.61","42,355"
12/27/2024,"0.61","0.62","0.60","0.62","58,219"
12/24/2024,"0.63","0.63","0.60","0.60","16,309"
12/23/2024,"0.61","0.63","0.60","0.63","41,100"
12/20/2024,"0.60","0.62","0.59","0.62","58,000"
12/19/2024,"0.60","0.60","0.59","0.60","29,850"
12/18/2024,"0.62","0.62","0.60","0.60","36,462"
12/17/2024,"0.62","0.62","0.60","0.61","284,816"
12/16/2024,"0.64","0.64","0.63","0.64","24,310"
12/13/2024,"0.63","0.64","0.62","0.63","61,265"
12/12/2024,"0.64","0.65","0.63","0.63","20,486"
12/11/2024,"0.65","0.65","0.65","0.65","5,144"
12/10/2024,"0.62","0.66","0.62","0.65","76,500"
12/09/2024,"0.62","0.63","0.61","0.63","22,747"
12/06/2024,"0.63","0.64","0.62","0.62","43,328"
12/05/2024,"0.61","0.64","0.60","0.60","50,288"
12/04/2024,"0.61","0.61","0.60","0.60","10,508"
12/03/2024,"0.61","0.61","0.61","0.61","41,615"
12/02/2024,"0.61","0.61","0.60","0.61","32,384"
11/29/2024,"0.62","0.62","0.61","0.61","1,507"
11/28/2024,"0.62","0.62","0.61","0.61","11,159"
11/27/2024,"0.61","0.61","0.61","0.61","1,034"
11/26/2024,"0.62","0.62","0.62","0.62","11,652"
11/25/2024,"0.61","0.62","0.61","0.62","9,575"
11/22/2024,"0.61","0.63","0.61","0.61","24,790"
11/21/2024,"0.62","0.63","0.61","0.62","27,640"
11/20/2024,"0.65","0.65","0.62","0.62","32,450"
11/19/2024,"0.63","0.66","0.63","0.65","17,300"
11/18/2024,"0.65","0.67","0.65","0.66","17,951"
11/15/2024,"0.64","0.64","0.63","0.64","38,066"
11/14/2024,"0.67","0.67","0.63","0.64","84,478"
11/13/2024,"0.68","0.68","0.63","0.66","70,293"
11/12/2024,"0.68","0.68","0.66","0.66","7,948"
11/11/2024,"0.68","0.69","0.67","0.68","20,100"
11/08/2024,"0.68","0.68","0.66","0.67","39,798"
11/07/2024,"0.66","0.69","0.66","0.68","34,838"
11/06/2024,"0.68","0.68","0.66","0.66","8,515"
11/05/2024,"0.66","0.68","0.66","0.66","72,904"
11/04/2024,"0.66","0.67","0.65","0.65","50,787"
11/01/2024,"0.66","0.66","0.66","0.66","31,220"
10/31/2024,"0.65","0.65","0.62","0.65","38,677"
10/30/2024,"0.65","0.67","0.63","0.64","91,262"
10/29/2024,"0.67","0.67","0.65","0.65","50,240"
10/28/2024,"0.69","0.69","0.66","0.67","15,087"
10/25/2024,"0.67","0.67","0.67","0.67","31,560"
10/24/2024,"0.69","0.69","0.67","0.68","51,970"
10/23/2024,"0.69","0.69","0.68","0.68","14,304"
10/22/2024,"0.68","0.68","0.67","0.68","20,381"
10/21/2024,"0.70","0.70","0.68","0.68","26,725"
10/18/2024,"0.69","0.69","0.68","0.69","24,940"
10/17/2024,"0.69","0.70","0.69","0.69","25,084"
10/16/2024,"0.68","0.70","0.68","0.70","29,170"
10/15/2024,"0.69","0.69","0.68","0.69","22,169"
10/11/2024,"0.69","0.70","0.69","0.70","94,500"
10/10/2024,"0.70","0.70","0.68","0.69","11,806"
10/09/2024,"0.70","0.70","0.68","0.69","86,135"
10/08/2024,"0.68","0.70","0.68","0.70","33,205"
10/07/2024,"0.70","0.70","0.68","0.68","10,488"
10/04/2024,"0.69","0.72","0.68","0.68","109,793"
10/03/2024,"0.68","0.69","0.66","0.69","44,952"
10/02/2024,"0.67","0.68","0.67","0.68","8,032"
10/01/2024,"0.69","0.69","0.67","0.69","5,367"
09/30/2024,"0.67","0.69","0.67","0.69","4,202"
09/27/2024,"0.69","0.69","0.67","0.69","21,630"
09/26/2024,"0.68","0.69","0.68","0.69","7,710"
09/25/2024,"0.68","0.68","0.66","0.67","35,686"
09/24/2024,"0.67","0.69","0.67","0.68","6,500"
09/23/2024,"0.68","0.69","0.68","0.68","9,632"
09/20/2024,"0.68","0.69","0.68","0.69","5,500"
09/19/2024,"0.68","0.69","0.67","0.69","11,659"
09/18/2024,"0.69","0.70","0.66","0.68","18,929"
09/17/2024,"0.71","0.71","0.68","0.70","27,368"
09/16/2024,"0.71","0.71","0.68","0.71","11,045"
09/13/2024,"0.71","0.72","0.68","0.71","75,761"
09/12/2024,"0.68","0.70","0.68","0.69","15,470"
09/11/2024,"0.73","0.73","0.66","0.68","79,295"
09/10/2024,"0.72","0.73","0.70","0.72","43,231"
09/09/2024,"0.71","0.77","0.69","0.69","271,033"
09/06/2024,"0.68","0.68","0.66","0.67","36,005"
09/05/2024,"0.66","0.66","0.66","0.66","9,000"
09/04/2024,"0.66","0.66","0.65","0.65","14,500"
09/03/2024,"0.68","0.68","0.67","0.67","25,195"
08/30/2024,"0.66","0.68","0.65","0.66","38,614"
08/29/2024,"0.68","0.69","0.68","0.69","11,092"
08/28/2024,"0.71","0.71","0.68","0.68","21,203"
08/27/2024,"0.71","0.72","0.68","0.72","64,637"
08/26/2024,"0.69","0.72","0.69","0.72","4,895"
08/23/2024,"0.68","0.71","0.66","0.69","65,900"
08/22/2024,"0.70","0.71","0.67","0.68","34,834"
08/21/2024,"0.71","0.74","0.68","0.69","151,365"
08/20/2024,"0.63","0.67","0.63","0.65","21,591"
08/19/2024,"0.67","0.67","0.63","0.64","62,633"
08/16/2024,"0.63","0.68","0.63","0.64","95,424"
08/15/2024,"0.61","0.63","0.59","0.63","53,315"
08/14/2024,"0.59","0.60","0.59","0.59","21,079"
08/13/2024,"0.63","0.63","0.59","0.59","122,845"
08/12/2024,"0.66","0.66","0.62","0.62","104,518"
08/09/2024,"0.65","0.66","0.64","0.66","36,700"
08/08/2024,"0.65","0.65","0.63","0.64","10,660"
08/07/2024,"0.66","0.67","0.63","0.63","53,172"
08/06/2024,"0.71","0.71","0.66","0.66","45,650"
08/02/2024,"0.71","0.72","0.67","0.70","19,250"
08/01/2024,"0.67","0.71","0.67","0.70","35,085"
07/31/2024,"0.67","0.71","0.63","0.70","85,732"
07/30/2024,"0.68","0.69","0.68","0.68","32,129"
07/29/2024,"0.68","0.72","0.68","0.68","16,472"
07/26/2024,"0.68","0.70","0.67","0.68","48,848"
07/25/2024,"0.74","0.74","0.68","0.70","53,008"
07/24/2024,"0.72","0.75","0.72","0.73","145,423"
07/23/2024,"0.71","0.72","0.70","0.72","83,816"
07/22/2024,"0.69","0.71","0.68","0.71","68,515"
07/19/2024,"0.67","0.67","0.67","0.67","739"
07/18/2024,"0.66","0.67","0.65","0.67","8,000"
07/17/2024,"0.70","0.71","0.66","0.68","27,875"
07/16/2024,"0.68","0.76","0.68","0.72","170,174"
07/15/2024,"0.58","0.69","0.58","0.68","120,225"
07/12/2024,"0.56","0.56","0.56","0.56","88,344"
07/11/2024,"0.57","0.59","0.55","0.56","29,552"
07/10/2024,"0.56","0.57","0.55","0.57","76,380"
07/09/2024,"0.56","0.57","0.55","0.55","51,371"
07/08/2024,"0.58","0.58","0.56","0.56","23,106"
07/05/2024,"0.58","0.58","0.56","0.58","50,485"
07/04/2024,"0.60","0.60","0.58","0.58","6,202"
07/03/2024,"0.59","0.61","0.57","0.57","49,436"
07/02/2024,"0.59","0.62","0.58","0.60","76,604"
06/28/2024,"0.61","0.61","0.59","0.60","51,118"
06/27/2024,"0.57","0.62","0.56","0.61","61,413"
06/26/2024,"0.60","0.60","0.55","0.56","99,124"
06/25/2024,"0.58","0.59","0.58","0.58","19,988"
06/24/2024,"0.62","0.62","0.58","0.59","79,379"
06/21/2024,"0.61","0.62","0.59","0.59","104,121"
06/20/2024,"0.61","0.61","0.60","0.60","49,537"
06/19/2024,"0.61","0.61","0.61","0.61","4,012"
06/18/2024,"0.63","0.63","0.62","0.63","7,500"
06/17/2024,"0.63","0.63","0.62","0.62","6,180"
06/14/2024,"0.62","0.63","0.62","0.62","15,150"
06/13/2024,"0.64","0.64","0.61","0.62","33,016"
06/12/2024,"0.66","0.68","0.65","0.65","41,390"
06/11/2024,"0.69","0.70","0.65","0.65","61,750"
06/10/2024,"0.64","0.69","0.63","0.68","28,165"
06/07/2024,"0.62","0.63","0.59","0.63","117,850"
06/06/2024,"0.63","0.63","0.61","0.61","7,068"
06/05/2024,"0.64","0.64","0.64","0.64","20,907"
06/04/2024,"0.61","0.63","0.61","0.63","34,399"
06/03/2024,"0.64","0.64","0.62","0.62","34,047"
05/31/2024,"0.65","0.66","0.64","0.64","24,425"
05/30/2024,"0.65","0.65","0.64","0.64","3,070"
05/29/2024,"0.63","0.63","0.62","0.62","33,926"
05/28/2024,"0.66","0.66","0.62","0.63","63,664"
05/27/2024,"0.66","0.66","0.64","0.65","130,926"
05/24/2024,"0.66","0.67","0.65","0.65","30,000"
05/23/2024,"0.66","0.66","0.65","0.65","11,231"
05/22/2024,"0.67","0.67","0.66","0.67","36,565"
05/21/2024,"0.66","0.68","0.66","0.67","69,029"
05/17/2024,"0.69","0.69","0.66","0.67","67,415"
05/16/2024,"0.69","0.71","0.66","0.66","27,360"
05/15/2024,"0.68","0.70","0.68","0.70","27,575"
05/14/2024,"0.68","0.71","0.68","0.69","60,072"
05/13/2024,"0.72","0.72","0.69","0.69","19,457"
05/10/2024,"0.68","0.70","0.66","0.70","23,195"
05/09/2024,"0.70","0.70","0.68","0.69","19,525"
05/08/2024,"0.69","0.69","0.67","0.67","27,755"
05/07/2024,"0.69","0.69","0.68","0.68","15,392"
05/06/2024,"0.72","0.72","0.68","0.69","62,079"
05/03/2024,"0.71","0.71","0.70","0.70","3,620"
05/02/2024,"0.72","0.77","0.69","0.70","126,635"
05/01/2024,"0.74","0.74","0.71","0.71","24,187"
04/30/2024,"0.77","0.77","0.71","0.73","76,936"
04/29/2024,"0.78","0.78","0.75","0.75","23,068"
04/26/2024,"0.81","0.81","0.75","0.76","84,274"
04/25/2024,"0.81","0.81","0.79","0.79","30,937"
04/24/2024,"0.82","0.82","0.79","0.81","83,063"
04/23/2024,"0.85","0.85","0.80","0.81","67,973"
04/22/2024,"0.88","0.91","0.84","0.85","161,733"
04/19/2024,"0.80","0.82","0.78","0.82","39,113"
04/18/2024,"0.83","0.83","0.80","0.81","27,869"
04/17/2024,"0.84","0.84","0.81","0.82","70,512"
04/16/2024,"0.84","0.84","0.81","0.84","35,501"
04/15/2024,"0.83","0.86","0.81","0.82","22,260"
04/12/2024,"0.83","0.90","0.83","0.83","74,551"
04/11/2024,"0.86","0.86","0.80","0.84","55,822"
