"Date","Price","Open","High","Low","Vol.","Change %"
"01/05/2000","5.81","5.73","5.90","5.73","9.78K","0.69%"
"01/04/2000","5.77","6.08","6.11","5.76","24.47K","-5.41%"
"01/03/2000","6.10","6.15","6.18","6.05","7.99K","-0.33%"
"12/30/1999","6.12","6.00","6.14","6.00","6.99K","-0.33%"
"12/29/1999","6.14","5.95","6.15","5.95","12.62K","3.72%"
"12/28/1999","5.92","5.87","5.99","5.87","3.20K","0.00%"
"12/27/1999","5.92","5.89","5.94","5.87","1.19K","0.68%"
"12/23/1999","5.88","5.89","5.94","5.87","2.85K","-0.17%"
"12/22/1999","5.89","5.89","5.96","5.87","5.43K","-0.51%"
"12/21/1999","5.92","5.96","5.99","5.89","6.20K","-0.67%"
"12/20/1999","5.96","5.86","6.00","5.86","7.93K","1.36%"
"12/17/1999","5.88","5.77","5.90","5.77","8.07K","2.26%"
"12/16/1999","5.75","5.72","5.77","5.67","9.60K","0.17%"
"12/15/1999","5.74","5.82","5.85","5.68","18.11K","-2.38%"
"12/14/1999","5.88","6.07","6.10","5.87","11.21K","-2.33%"
"12/13/1999","6.02","5.97","6.05","5.94","7.40K","-0.17%"
"12/10/1999","6.03","6.15","6.18","6.01","6.30K","-1.15%"
"12/09/1999","6.10","6.03","6.11","6.00","3.75K","1.16%"
"12/08/1999","6.03","6.09","6.13","6.00","6.03K","-0.66%"
"12/07/1999","6.07","6.18","6.28","6.05","10.84K","-2.57%"
"12/06/1999","6.23","6.00","6.27","5.96","17.79K","4.18%"
"12/03/1999","5.98","5.83","6.08","5.83","10.42K","4.00%"
"12/02/1999","5.75","5.75","5.88","5.74","7.40K","-0.17%"
"12/01/1999","5.76","5.62","5.88","5.62","17.91K","-0.35%"
"11/30/1999","5.78","6.04","6.12","5.74","17.11K","-4.62%"
"11/29/1999","6.06","6.10","6.14","6.03","6.60K","-0.16%"
"11/24/1999","6.07","6.05","6.15","6.03","8.72K","0.66%"
"11/23/1999","6.03","5.99","6.11","5.94","12.58K","2.03%"
"11/22/1999","5.91","5.97","6.08","5.80","23.60K","0.00%"
