Type,Year,Standard,Close
"Flour, white, all-purpose, per pound",2000,Retail price-Dollars,0.29025
"Flour, white, all-purpose, per pound",2001,Retail price-Dollars,0.302333333333333
"Flour, white, all-purpose, per pound",2002,Retail price-Dollars,0.3115
"Flour, white, all-purpose, per pound",2003,Retail price-Dollars,0.311666666666667
"Flour, white, all-purpose, per pound",2004,Retail price-Dollars,0.302583333333333
"Flour, white, all-purpose, per pound",2005,Retail price-Dollars,0.323916666666667
"Flour, white, all-purpose, per pound",2006,Retail price-Dollars,0.328666666666667
"Flour, white, all-purpose, per pound",2007,Retail price-Dollars,0.36025
"Flour, white, all-purpose, per pound",2008,Retail price-Dollars,0.506666666666667
"Flour, white, all-purpose, per pound",2009,Retail price-Dollars,0.501083333333333
"Flour, white, all-purpose, per pound",2010,Retail price-Dollars,0.476916666666667
"Flour, white, all-purpose, per pound",2011,Retail price-Dollars,0.518083333333333
"Flour, white, all-purpose, per pound",2012,Retail price-Dollars,0.516916666666667
"Flour, white, all-purpose, per pound",2013,Retail price-Dollars,0.521583333333333
"Flour, white, all-purpose, per pound",2014,Retail price-Dollars,0.529833333333333
"Flour, white, all-purpose, per pound",2015,Retail price-Dollars,0.516666666666667
"Flour, white, all-purpose, per pound",2016,Retail price-Dollars,0.525
"Flour, white, all-purpose, per pound",2017,Retail price-Dollars,0.50725
"Flour, white, all-purpose, per pound",2018,Retail price-Dollars,0.46175
"Flour, white, all-purpose, per pound",2019,Retail price-Dollars,0.441166666666667
"Flour, white, all-purpose, per pound",2020,Retail price-Dollars,0.451363636363636
"Flour, white, all-purpose, per pound",2021,Retail price-Dollars,0.40375
"Flour, white, all-purpose, per pound",2022,Retail price-Dollars,0.493916666666667
